timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741290008410,1693,16 Get Stock Prices Request,200,OK,User Thread Group 1-914,text,false,,400,598,381,381,http://localhost:8080/transaction/getStockPrices,1693,0,0
1741290008402,1710,16 Get Stock Prices Request,200,OK,User Thread Group 1-631,text,false,,400,600,380,380,http://localhost:8080/transaction/getStockPrices,1710,0,0
1741290008402,1716,16 Get Stock Prices Request,200,OK,User Thread Group 1-926,text,false,,400,599,379,379,http://localhost:8080/transaction/getStockPrices,1716,0,0
1741290008402,1722,16 Get Stock Prices Request,200,OK,User Thread Group 1-858,text,false,,400,600,378,378,http://localhost:8080/transaction/getStockPrices,1722,0,0
1741290008401,1735,16 Get Stock Prices Request,200,OK,User Thread Group 1-576,text,false,,400,596,377,377,http://localhost:8080/transaction/getStockPrices,1735,0,0
1741290008402,1737,16 Get Stock Prices Request,200,OK,User Thread Group 1-981,text,false,,400,603,376,376,http://localhost:8080/transaction/getStockPrices,1737,0,0
1741290008400,1741,16 Get Stock Prices Request,200,OK,User Thread Group 1-766,text,false,,400,591,375,375,http://localhost:8080/transaction/getStockPrices,1741,0,0
1741290008399,1744,16 Get Stock Prices Request,200,OK,User Thread Group 1-711,text,false,,400,591,374,374,http://localhost:8080/transaction/getStockPrices,1744,0,0
1741290008400,1743,16 Get Stock Prices Request,200,OK,User Thread Group 1-743,text,false,,400,602,374,374,http://localhost:8080/transaction/getStockPrices,1743,0,0
1741290008397,1751,16 Get Stock Prices Request,200,OK,User Thread Group 1-840,text,false,,400,604,372,372,http://localhost:8080/transaction/getStockPrices,1751,0,0
1741290008398,1757,16 Get Stock Prices Request,200,OK,User Thread Group 1-892,text,false,,400,603,371,371,http://localhost:8080/transaction/getStockPrices,1757,0,0
1741290008440,1726,16 Get Stock Prices Request,200,OK,User Thread Group 1-699,text,false,,400,603,370,370,http://localhost:8080/transaction/getStockPrices,1726,0,0
1741290008475,1701,16 Get Stock Prices Request,200,OK,User Thread Group 1-847,text,false,,400,604,369,369,http://localhost:8080/transaction/getStockPrices,1701,0,0
1741290008422,1764,16 Get Stock Prices Request,200,OK,User Thread Group 1-846,text,false,,400,590,368,368,http://localhost:8080/transaction/getStockPrices,1764,0,0
